;sepal length (cm);sepal width (cm);petal length (cm);petal width (cm)
63;6.1;2.9;4.7;1.4
149;5.9;3.0;5.1;1.8
145;6.7;3.0;5.2;2.3
100;6.3;3.3;6.0;2.5
105;7.6;3.0;6.6;2.1
131;7.9;3.8;6.4;2.0
109;7.2;3.6;6.1;2.5
87;6.3;2.3;4.4;1.3
36;5.5;3.5;1.3;0.2
77;6.7;3.0;5.0;1.7
23;5.1;3.3;1.7;0.5
15;5.7;4.4;1.5;0.4
21;5.1;3.7;1.5;0.4
81;5.5;2.4;3.7;1.0
14;5.8;4.0;1.2;0.2
127;6.1;3.0;4.9;1.8
13;4.3;3.0;1.1;0.1
29;4.7;3.2;1.6;0.2
84;5.4;3.0;4.5;1.5
39;5.1;3.4;1.5;0.2
2;4.7;3.2;1.3;0.2
94;5.6;2.7;4.2;1.3
108;6.7;2.5;5.8;1.8
62;6.0;2.2;4.0;1.0
64;5.6;2.9;3.6;1.3
61;5.9;3.0;4.2;1.5
138;6.0;3.0;4.8;1.8
147;6.5;3.0;5.2;2.0
96;5.7;2.9;4.2;1.3
120;6.9;3.2;5.7;2.3
116;6.5;3.0;5.5;1.8
122;7.7;2.8;6.7;2.0
31;5.4;3.4;1.5;0.4
51;6.4;3.2;4.5;1.5
7;5.0;3.4;1.5;0.2
144;6.7;3.3;5.7;2.5
75;6.6;3.0;4.4;1.4
118;7.7;2.6;6.9;2.3
34;4.9;3.1;1.5;0.2
47;4.6;3.2;1.4;0.2
74;6.4;2.9;4.3;1.3
17;5.1;3.5;1.4;0.3
89;5.5;2.5;4.0;1.3
107;7.3;2.9;6.3;1.8
133;6.3;2.8;5.1;1.5
148;6.2;3.4;5.4;2.3
115;6.4;3.2;5.3;2.3
134;6.1;2.6;5.6;1.4
0;5.1;3.5;1.4;0.2
55;5.7;2.8;4.5;1.3
110;6.5;3.2;5.1;2.0
132;6.4;2.8;5.6;2.2
10;5.4;3.7;1.5;0.2
45;4.8;3.0;1.4;0.3
56;6.3;3.3;4.7;1.6
26;5.0;3.4;1.6;0.4
130;7.4;2.8;6.1;1.9
48;5.3;3.7;1.5;0.2
53;5.5;2.3;4.0;1.3
24;4.8;3.4;1.9;0.2
33;5.5;4.2;1.4;0.2
141;6.9;3.1;5.1;2.3
27;5.2;3.5;1.5;0.2
126;6.2;2.8;4.8;1.8
58;6.6;2.9;4.6;1.3
22;4.6;3.6;1.0;0.2
80;5.5;2.4;3.8;1.1
32;5.2;4.1;1.5;0.1
6;4.6;3.4;1.4;0.3
103;6.3;2.9;5.6;1.8
86;6.7;3.1;4.7;1.5
69;5.6;2.5;3.9;1.1
102;7.1;3.0;5.9;2.1
70;5.9;3.2;4.8;1.8
8;4.4;2.9;1.4;0.2
37;4.9;3.6;1.4;0.1
125;7.2;3.2;6.0;1.8
52;6.9;3.1;4.9;1.5
57;4.9;2.4;3.3;1.0
92;5.8;2.6;4.0;1.2
143;6.8;3.2;5.9;2.3
30;4.8;3.1;1.6;0.2
88;5.6;3.0;4.1;1.3
128;6.4;2.8;5.6;2.1
112;6.8;3.0;5.5;2.1
5;5.4;3.9;1.7;0.4
11;4.8;3.4;1.6;0.2
65;6.7;3.1;4.4;1.4
97;6.2;2.9;4.3;1.3
139;6.9;3.1;5.4;2.1
119;6.0;2.2;5.0;1.5
43;5.0;3.5;1.6;0.6
83;6.0;2.7;5.1;1.6
54;6.5;2.8;4.6;1.5
9;4.9;3.1;1.5;0.1
25;5.0;3.0;1.6;0.2
28;5.2;3.4;1.4;0.2
41;4.5;2.3;1.3;0.3
73;6.1;2.8;4.7;1.2
18;5.7;3.8;1.7;0.3
104;6.5;3.0;5.8;2.2
12;4.8;3.0;1.4;0.1
91;6.1;3.0;4.6;1.4
67;5.8;2.7;4.1;1.0
79;5.7;2.6;3.5;1.0
129;7.2;3.0;5.8;1.6
123;6.3;2.7;4.9;1.8
38;4.4;3.0;1.3;0.2
135;7.7;3.0;6.1;2.3
114;5.8;2.8;5.1;2.4
98;5.1;2.5;3.0;1.1
1;4.9;3.0;1.4;0.2
121;5.6;2.8;4.9;2.0
113;5.7;2.5;5.0;2.0
20;5.4;3.4;1.7;0.2
85;6.0;3.4;4.5;1.6
76;6.8;2.8;4.8;1.4
106;4.9;2.5;4.5;1.7
59;5.2;2.7;3.9;1.4
146;6.3;2.5;5.0;1.9
68;6.2;2.2;4.5;1.5
124;6.7;3.3;5.7;2.1
50;7.0;3.2;4.7;1.4
142;5.8;2.7;5.1;1.9
82;5.8;2.7;3.9;1.2
60;5.0;2.0;3.5;1.0
49;5.0;3.3;1.4;0.2
46;5.1;3.8;1.6;0.2
19;5.1;3.8;1.5;0.3
101;5.8;2.7;5.1;1.9
35;5.0;3.2;1.2;0.2
66;5.6;3.0;4.5;1.5
111;6.4;2.7;5.3;1.9
44;5.1;3.8;1.9;0.4
93;5.0;2.3;3.3;1.0
